H,Black Widow,2000,1000,6,98,3,150,Gentlemen hard to breathe,Relax shellhead,Eyes on the road
H,Captain America,1500,1000,6,80,1,100,Shield throw,I can do this all day,Shield Up
A,Deadpool,1350,700,6,80,3,90,Try Harder,8 bullets left,Can't Catch Me
H,Dr Strange,1100,1500,6,60,2,60,The eye of agamotto,Thousand Hand,Mirror Dimension
V,Black Panther,1200,1200,5,75,3,110,WAKANDA FOR EVER !,We Don't Do That Here,Did He Freeze?
A,StarLord,1000,500,6,85,1,140,I'm Gonna Get Some Dumbbells,It's Showtime A-Holes!,I Don't Learn
V,Hela,1500,750,5,75,1,150,Godess of Death,Thorn Shield,Thorn Shower
H,Hulk,2250,550,5,55,1,200,Rage,Hulk Smash,Sun is getting real low
H,Antman,1000,900,5,65,2,120,Mommy?Is daddy a bad man?,Dude,You want some waffles?
H,Ironman,1200,800,7,85,3,90,I am Ironman,Unibeam,3000
V,Loki,1150,900,5,70,1,150,God of Mischief,The Hidden Dagger,Fake Death
V,Wanda,1200,650,8,99,1,70,You Are My Sadness And My Hope,Is This Yours?,Sooner Or Later
H,Spiderman,1400,750,7,85,1,120,give me that,web trap,Spiderverse
H,Thor,1800,800,7,90,1,130,God of Thunder,Mjollnir Throw,Bring Me Thanos
A,Venom,1650,700,5,70,1,140,Head Bite,We are venom,Symbiosis
V,Thanos,1800,800,7,60,2,150,I am… inevitable,The universe required correction,Fine I’ll do it myself